iter	Logloss
0	0.6879474872
1	0.6832637533
2	0.679036042
3	0.6746458348
4	0.6707396256
5	0.6669930385
6	0.6634288008
7	0.6598132724
8	0.6560670228
9	0.6532948549
10	0.6497622364
11	0.6467190327
12	0.6435269569
13	0.6402951183
14	0.637595392
15	0.6345481759
16	0.6314965398
17	0.6281265884
18	0.6255327063
19	0.6226326111
20	0.620000624
21	0.6177878639
22	0.6155576198
23	0.6133209921
24	0.6109154918
25	0.608314041
26	0.6062708015
27	0.6043655005
28	0.6025860769
29	0.600668274
30	0.598484014
31	0.5967318003
32	0.5948786488
33	0.5933792025
34	0.5919128044
35	0.5903005821
36	0.5888453495
37	0.5871233586
38	0.5856256338
39	0.5843553867
40	0.5823922481
41	0.5810203992
42	0.5788067082
43	0.5771222022
44	0.5753319567
45	0.5738423679
46	0.5723267479
47	0.5708846212
48	0.5696345429
49	0.5684882185
50	0.567212854
51	0.5659894372
52	0.5643866966
53	0.5627558361
54	0.5613781091
55	0.5603700206
56	0.5590786497
57	0.5577607711
58	0.5566579762
59	0.5554688284
60	0.5542183273
61	0.553216471
62	0.5520858433
63	0.5508218003
64	0.5497970179
65	0.5487756536
66	0.5478112059
67	0.5467810184
68	0.545381088
69	0.5446793867
70	0.5438682889
71	0.5427616522
72	0.5415970313
73	0.5409782517
74	0.5400181307
75	0.5393210905
76	0.5384061824
77	0.5377105118
78	0.5365587377
79	0.5356402542
80	0.5348887299
81	0.5340027157
82	0.5331282723
83	0.5322970717
84	0.5308276638
85	0.5297232207
86	0.5282540659
87	0.5276599943
88	0.5270472599
89	0.526452884
90	0.5255303747
91	0.5245053748
92	0.5234434517
93	0.5220454812
94	0.5211111971
95	0.5202443319
96	0.5193639686
97	0.5186413734
98	0.5179388052
99	0.5169715496
100	0.5164238742
101	0.5157696229
102	0.5148767452
103	0.5140250569
104	0.5127090721
105	0.5116427438
106	0.5109498663
107	0.5105848505
108	0.5097989195
109	0.5092702092
110	0.5083324316
111	0.5074451894
112	0.5070071639
113	0.506237934
114	0.505632554
115	0.5051730566
116	0.5043212368
117	0.5037220723
118	0.5027974131
119	0.5020135611
120	0.5012954688
121	0.5008033609
122	0.5002888765
123	0.4994353043
124	0.4987794505
125	0.4980929766
126	0.497529119
127	0.4969531535
128	0.4961360233
129	0.4957184763
130	0.4950393278
131	0.4947131752
132	0.4943351157
133	0.4936715901
134	0.4931497771
135	0.4926846866
136	0.4920610179
137	0.4915074772
138	0.4907927831
139	0.4901457116
140	0.4895873222
141	0.4890555232
142	0.4883718268
143	0.4877650108
144	0.4873069833
145	0.4867348466
146	0.4859178481
147	0.4853939262
148	0.4849467676
149	0.4844820095
150	0.4839121228
151	0.4834394144
152	0.4827863896
153	0.4824424999
154	0.4820442682
155	0.4813793727
156	0.4808873124
157	0.4802737545
158	0.479946283
159	0.4793289053
160	0.478743407
161	0.4780993811
162	0.477512153
163	0.4768720977
164	0.476224066
165	0.4756333169
166	0.475274044
167	0.4749343351
168	0.4744713192
169	0.4741548323
170	0.4732050292
171	0.4726408162
172	0.4722202689
173	0.4715346544
174	0.4712306276
175	0.4706745984
176	0.470212707
177	0.4697213741
178	0.4690503334
179	0.4685848506
180	0.4681469886
181	0.4677646889
182	0.4673271703
183	0.4665825085
184	0.4659540899
185	0.465487118
186	0.4651023467
187	0.4646738093
188	0.4640583924
189	0.4633710973
190	0.4626582238
191	0.462166018
192	0.4617609225
193	0.4614052383
194	0.4611348813
195	0.4607981461
196	0.4600322492
197	0.4593305668
198	0.4589309255
199	0.4585184693
200	0.4581434518
201	0.4577760924
202	0.4570960309
203	0.4568888386
204	0.456510221
205	0.4559047847
206	0.4556327241
207	0.4551920533
208	0.4547553335
209	0.454322513
210	0.4537115071
211	0.4532573898
212	0.4525690509
213	0.4521425864
214	0.4516925478
215	0.4512113199
216	0.4508550383
217	0.4504078688
218	0.4500096766
219	0.4495076886
220	0.4492195537
221	0.4488543082
222	0.4484880555
223	0.4478421071
224	0.4473811871
225	0.4469718772
226	0.4464666245
227	0.4460751398
228	0.4455700201
229	0.4449943447
230	0.4445178026
231	0.4439398184
232	0.4436010324
233	0.4431812766
234	0.4428051369
235	0.4423673739
236	0.4417920865
237	0.4412313601
238	0.4409441032
239	0.4403470264
240	0.4401823072
241	0.4399337756
242	0.4393961229
243	0.4387515573
244	0.4382937318
245	0.4378926004
246	0.4375595227
247	0.4370119352
248	0.4365971402
249	0.4357898492
250	0.4355068932
251	0.4351048867
252	0.4347861531
253	0.4343799167
254	0.4338417798
255	0.4334952074
256	0.4331624018
257	0.4326746205
258	0.4323314726
259	0.4320581164
260	0.431585837
261	0.4310831076
262	0.4308912782
263	0.4305284765
264	0.4300005149
265	0.4296426817
266	0.4291836507
267	0.4286529964
268	0.4283563617
269	0.4280424987
270	0.4275893135
271	0.4272180673
272	0.4267940659
273	0.4264072284
274	0.4260891702
275	0.4257801695
276	0.4251981373
277	0.4248352921
278	0.4243093702
279	0.4240043053
280	0.4236070334
281	0.4232227421
282	0.4229070826
283	0.4226302668
284	0.4223889438
285	0.4219076042
286	0.4213466817
287	0.4209032577
288	0.4206017868
289	0.4200618301
290	0.4197489515
291	0.4192006364
292	0.4186984517
293	0.4182714413
294	0.417865822
295	0.417326644
296	0.4169708068
297	0.4165783257
298	0.416036203
299	0.4158190058
300	0.4153355286
301	0.4149343482
302	0.4145051136
303	0.4141442143
304	0.4136563795
305	0.4132164031
306	0.4128920073
307	0.412501126
308	0.4121235202
309	0.4117920412
310	0.4112261739
311	0.4109469764
312	0.4106508733
313	0.4102246196
314	0.4099203786
315	0.4094447689
316	0.4089211047
317	0.4086189
318	0.4080442435
319	0.4078124253
320	0.4075048418
321	0.4072774021
322	0.4070926167
323	0.4068098472
324	0.4065362236
325	0.4061831369
326	0.4059123224
327	0.4054437144
328	0.4051051226
329	0.404796536
330	0.4045074139
331	0.404300337
332	0.4037193652
333	0.403332053
334	0.4031606594
335	0.4023893932
336	0.402139568
337	0.4018629335
338	0.4016233605
339	0.4012664042
340	0.4008896211
341	0.4002211661
342	0.3998515246
343	0.399555368
344	0.3989899629
345	0.3986651811
346	0.3983298651
347	0.3980501978
348	0.3975758572
349	0.3973351746
350	0.3971066176
351	0.3968589324
352	0.3963493923
353	0.3959295192
354	0.3955057317
355	0.395185361
356	0.3946325585
357	0.3943539524
358	0.3939361862
359	0.3936875262
360	0.3933644752
361	0.393018908
362	0.3928259043
363	0.3925911459
364	0.3922740247
365	0.3920216442
366	0.3919236671
367	0.3913389761
368	0.3911709715
369	0.3909591315
370	0.3907121119
371	0.3902868904
372	0.3900753423
373	0.3896988406
374	0.3893872953
375	0.3890463654
376	0.3886096406
377	0.3883025538
378	0.3879344631
379	0.3874543609
380	0.3871914373
381	0.3868401765
382	0.386590679
383	0.3862824507
384	0.3859992626
385	0.385773918
386	0.3851285764
387	0.3847901011
388	0.3845419361
389	0.3838214478
390	0.3834737811
391	0.3829879717
392	0.38214934
393	0.3818616365
394	0.3814936239
395	0.3810513126
396	0.3806375579
397	0.3803098992
398	0.3796387663
399	0.3794153912
400	0.3789584135
401	0.3784948775
402	0.3781612154
403	0.3779566285
404	0.3776122551
405	0.3772118881
406	0.376948205
407	0.3766648799
408	0.3764676073
409	0.3760635213
410	0.3758086195
411	0.375400924
412	0.3749692298
413	0.3747565859
414	0.37453587
415	0.3740000418
416	0.3736407013
417	0.373167257
418	0.3728668377
419	0.3725027769
420	0.3721119575
421	0.3718973226
422	0.3716568089
423	0.3712449547
424	0.3708757477
425	0.3702669301
426	0.3700339794
427	0.3697946313
428	0.3691766668
429	0.3689141665
430	0.3685059441
431	0.3683780122
432	0.3681376992
433	0.3678347666
434	0.3675132031
435	0.3668806082
436	0.3665358387
437	0.3662066728
438	0.36549761
439	0.3650829359
440	0.3647416581
441	0.3643211513
442	0.3637590444
443	0.3633968541
444	0.3629081786
445	0.3626610525
446	0.3623063076
447	0.3619568155
448	0.3614942777
449	0.3612770113
450	0.3611414841
451	0.3609191057
452	0.3607635641
453	0.3602141809
454	0.3600545619
455	0.3596576047
456	0.3591266207
457	0.3587934856
458	0.3586070156
459	0.3580008824
460	0.3574048025
461	0.3571622043
462	0.3567705584
463	0.3564610302
464	0.3563104305
465	0.3557326919
466	0.3553337148
467	0.3549750439
468	0.3544897226
469	0.3540999754
470	0.3538144075
471	0.3532535949
472	0.3528871096
473	0.3522495689
