iter	Passed	Remaining
0	3	3036
1	5	2761
2	7	2568
3	10	2534
4	12	2467
5	14	2420
6	16	2370
7	18	2326
8	20	2306
9	23	2317
10	25	2301
11	28	2315
12	30	2296
13	32	2281
14	34	2273
15	36	2262
16	38	2251
17	41	2241
18	43	2230
19	45	2225
20	47	2216
21	49	2217
22	52	2215
23	54	2218
24	56	2218
25	59	2223
26	61	2223
27	63	2217
28	65	2208
29	68	2207
30	70	2218
31	73	2214
32	75	2215
33	77	2212
34	80	2206
35	82	2202
36	84	2199
37	86	2195
38	88	2189
39	91	2185
40	93	2192
41	95	2187
42	98	2187
43	100	2181
44	102	2176
45	104	2172
46	107	2170
47	109	2166
48	111	2160
49	113	2155
50	115	2151
51	117	2145
52	120	2145
53	122	2141
54	124	2136
55	126	2137
56	129	2135
57	131	2132
58	133	2125
59	135	2122
60	137	2118
61	139	2114
62	141	2110
63	144	2107
64	146	2103
65	148	2100
66	150	2096
67	152	2094
68	155	2091
69	157	2087
70	159	2083
71	161	2079
72	163	2076
73	166	2078
74	168	2077
75	170	2075
76	172	2072
77	175	2069
78	177	2066
79	179	2065
80	181	2063
81	184	2062
82	187	2067
83	189	2065
84	191	2062
85	193	2060
86	196	2057
87	198	2055
88	200	2053
89	202	2049
90	204	2046
91	207	2043
92	209	2039
93	211	2037
94	213	2036
95	215	2032
96	217	2028
97	220	2027
98	222	2024
99	224	2020
100	226	2020
101	229	2018
102	231	2018
103	233	2015
104	236	2012
105	238	2009
106	240	2007
107	242	2004
108	244	2002
109	247	2001
110	249	2000
111	251	1997
112	254	1994
113	256	1992
114	258	1989
115	260	1987
116	262	1984
117	265	1982
118	267	1979
119	269	1976
120	271	1974
121	274	1972
122	276	1969
123	278	1966
124	280	1963
125	282	1960
126	285	1959
127	287	1956
128	289	1953
129	291	1951
130	293	1949
131	296	1947
132	298	1945
133	300	1944
134	302	1940
135	304	1937
136	307	1934
137	309	1932
138	311	1929
139	313	1928
140	316	1925
141	318	1922
142	320	1923
143	323	1920
144	325	1916
145	327	1916
146	329	1914
147	332	1912
148	334	1909
149	336	1907
150	338	1904
151	340	1900
152	342	1898
153	344	1894
154	346	1891
155	348	1888
156	350	1884
157	353	1881
158	355	1878
159	357	1875
160	359	1872
161	361	1869
162	363	1865
163	365	1862
164	367	1860
165	369	1857
166	371	1854
167	373	1851
168	376	1849
169	378	1846
170	380	1843
171	382	1840
172	384	1839
173	387	1837
174	389	1835
175	391	1833
176	394	1834
177	396	1832
178	399	1830
179	401	1828
180	403	1826
181	405	1824
182	408	1823
183	410	1822
184	412	1819
185	415	1816
186	417	1814
187	419	1812
188	421	1809
189	424	1808
190	426	1808
191	429	1807
192	432	1807
193	435	1808
194	438	1809
195	440	1808
196	443	1808
197	446	1809
198	449	1808
199	451	1807
200	454	1807
201	456	1805
202	459	1803
203	461	1800
204	463	1798
205	465	1795
206	468	1793
207	470	1791
208	472	1789
209	475	1786
210	477	1784
211	479	1782
212	481	1779
213	483	1776
214	485	1774
215	488	1771
216	490	1768
217	492	1766
218	494	1764
219	496	1761
220	499	1759
221	501	1758
222	504	1756
223	506	1754
224	508	1752
225	510	1749
226	513	1748
227	515	1745
228	517	1742
229	519	1740
230	521	1737
231	524	1735
232	526	1732
233	528	1731
234	531	1728
235	533	1726
236	535	1724
237	538	1723
238	540	1720
239	542	1719
240	545	1717
241	547	1715
242	549	1712
243	551	1709
244	554	1708
245	556	1706
246	558	1704
247	561	1701
248	563	1698
249	565	1696
250	567	1694
251	569	1691
252	572	1689
253	574	1686
254	576	1684
255	578	1681
256	580	1678
257	582	1675
258	584	1673
259	586	1670
260	589	1669
261	591	1667
262	595	1667
263	597	1665
264	599	1662
265	601	1660
266	603	1657
267	605	1654
268	608	1652
269	610	1650
270	612	1648
271	615	1646
272	617	1644
273	619	1642
274	622	1640
275	624	1638
276	626	1636
277	629	1634
278	631	1632
279	633	1629
280	635	1626
281	637	1624
282	640	1622
283	642	1620
284	645	1618
285	647	1616
286	650	1614
287	652	1613
288	654	1611
289	657	1609
290	659	1607
291	662	1605
292	664	1603
293	666	1601
294	669	1599
295	671	1596
296	673	1594
297	675	1592
298	678	1589
299	680	1587
300	682	1585
301	684	1582
302	686	1579
303	688	1577
304	691	1574
305	693	1572
306	695	1569
307	697	1567
308	699	1564
309	701	1561
310	703	1559
311	705	1556
312	707	1553
313	709	1550
314	711	1548
315	714	1545
316	716	1543
317	718	1540
318	720	1537
319	722	1535
320	724	1532
321	726	1529
322	728	1527
323	730	1524
324	732	1522
325	734	1519
326	736	1516
327	739	1514
328	741	1512
329	743	1509
330	745	1507
331	747	1504
332	749	1501
333	751	1499
334	754	1496
335	756	1494
336	758	1491
337	760	1489
338	762	1486
339	764	1484
340	766	1482
341	768	1479
342	771	1477
343	773	1474
344	775	1472
345	777	1469
346	779	1467
347	781	1464
348	784	1462
349	786	1460
350	789	1459
351	791	1457
352	793	1454
353	795	1452
354	797	1449
355	799	1447
356	801	1444
357	803	1441
358	806	1439
359	808	1436
360	810	1434
361	812	1431
362	814	1429
363	817	1428
364	819	1426
365	822	1423
366	824	1421
367	826	1419
368	829	1419
369	832	1417
370	834	1415
371	836	1412
372	839	1410
373	841	1408
374	844	1406
375	846	1404
376	848	1401
377	850	1399
378	852	1397
379	855	1395
380	857	1392
381	859	1390
382	861	1387
383	863	1385
384	865	1383
385	867	1380
386	870	1378
387	872	1375
388	874	1373
389	876	1370
390	878	1368
391	880	1365
392	882	1363
393	884	1360
394	886	1358
395	889	1356
396	891	1353
397	893	1351
398	895	1349
399	897	1346
400	900	1344
401	902	1342
402	904	1339
403	906	1337
404	908	1334
405	910	1332
406	912	1330
407	914	1327
408	916	1324
409	919	1322
410	921	1320
411	923	1317
412	925	1315
413	927	1312
414	929	1310
415	931	1308
416	933	1305
417	935	1303
418	937	1300
419	940	1298
420	942	1295
421	944	1293
422	946	1290
423	948	1288
424	950	1286
425	953	1284
426	955	1281
427	957	1279
428	959	1277
429	961	1275
430	963	1272
431	965	1270
432	968	1267
433	970	1265
434	972	1263
435	974	1260
436	976	1258
437	978	1255
438	980	1253
439	982	1251
440	985	1248
441	987	1246
442	989	1244
443	991	1241
444	993	1239
445	995	1236
446	997	1234
447	1000	1232
448	1002	1229
449	1004	1227
450	1006	1224
451	1008	1222
452	1010	1220
453	1012	1218
454	1015	1215
455	1017	1213
456	1019	1210
457	1021	1208
458	1023	1205
459	1025	1203
460	1027	1200
461	1029	1198
462	1031	1196
463	1033	1193
464	1035	1191
